custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,train,favday,city
B87VZ2,1,4/12/2013,4/12/2013,8/1/2013,46,6.52173913,0,76.65,0.072072072,0,0,0,0,Monday,RIC
7GCFAW,1,8/28/2012,7/20/2012,6/20/2013,37,21.62162162,2.702702703,136.74,0.026865672,0,0,0,0,Sunday,DCX
HK2T6Q,1,5/26/2012,5/26/2012,12/21/2013,49,40.81632653,2.040816327,68.6,0.015679443,0,0,0,0,Wednesday,CHO
HWKDYB,1,7/1/2011,8/9/2011,9/10/2013,34,82.35294118,29.41176471,66.04,0.031454784,0,0,0,0,Wednesday,CHO
JW7X2C,1,6/24/2013,6/24/2013,6/24/2013,45,0,0,34.3,0,1,0,0,0,Tuesday,CHO
BDN5ET,0,8/8/2012,8/13/2012,5/7/2013,0,0,0,91.86,0.119850187,1,0,0,0,Wednesday,CHO
LWEGHY,1,7/2/2013,7/2/2013,7/2/2013,45,24.44444444,0,60.86,0,1,0,0,0,Wednesday,DCX
LZTK9P,0,6/19/2013,7/11/2013,7/11/2013,0,0,0,120.09,0,1,0,0,0,Friday,DCX
ZWW78M,0,5/5/2012,5/30/2012,7/21/2013,16,12.5,0,13.41,0.074340528,1,0,0,0,Friday,RIC
3ZSBTX,0,3/1/2013,3/1/2013,7/10/2013,0,0,0,64.43,0.030534351,1,0,0,0,Sunday,DCX
GNMULL,1,6/16/2013,7/17/2013,8/4/2013,45,2.222222222,0,46.8,0.166666667,1,0,0,0,Friday,RIC
Y6KPSF,1,10/25/2011,4/14/2012,12/19/2013,51,13.7254902,1.960784314,93.66,0.042345277,1,0,0,0,Friday,CHO
BDXHRQ,1,6/4/2011,6/8/2011,6/8/2011,44,11.36363636,0,96.55,0,0,0,0,0,Thursday,CHO
YPPAHS,0,8/28/2012,7/20/2012,8/23/2012,0,0,0,49.75,0.058823529,0,0,0,0,Sunday,DCX
7N7G4H,1,8/28/2012,11/20/2013,11/20/2013,46,10.86956522,4.347826087,153.08,0,0,0,0,0,Thursday,DCX
U8VK7V,1,5/23/2013,6/5/2013,10/26/2013,48,27.08333333,6.25,91.48,0.048951049,1,0,0,0,Tuesday,DCX
V5N27L,1,6/21/2011,3/26/2012,12/30/2012,46,13.04347826,6.52173913,62.84,0.021505376,0,0,0,0,Wednesday,CHO
WRA62C,1,11/9/2011,11/9/2011,11/6/2013,50,4,2,57.6,0.008241758,0,0,0,0,Thursday,CHO
FUGZDZ,1,6/11/2013,8/15/2013,1/13/2014,54,20.37037037,12.96296296,95.56,0.052980132,1,0,0,0,Friday,DCX
B47WLH,1,6/18/2012,6/18/2012,1/7/2013,44,4.545454545,4.545454545,62.37,0.014778325,0,0,0,0,Tuesday,CHO
